datetime,open,high,low,close,volumns
2020-01-08 00:00:00,2.884,2.914,2.685,2.778,4425075.7
2020-01-09 00:00:00,2.777,2.799,2.695,2.745,5378993.3
2020-01-10 00:00:00,2.741,3.006,2.65,2.983,7255081.9
2020-01-11 00:00:00,2.988,3.128,2.941,2.992,6997566.2
2020-01-12 00:00:00,2.992,3.214,2.932,3.207,11263428
2020-01-13 00:00:00,3.206,3.209,3.064,3.105,11295750.7
2020-01-14 00:00:00,3.105,4.093,3.105,3.816,23670369.4
2020-01-15 00:00:00,3.811,3.955,3.569,3.768,15189203.9
2020-01-16 00:00:00,3.769,3.96,3.521,3.838,11755586.7
2020-01-17 00:00:00,3.839,4.088,3.744,3.904,14000552.1
2020-01-18 00:00:00,3.907,4.013,3.703,3.808,9526489
2020-01-19 00:00:00,3.807,3.944,3.426,3.613,10758121.7
2020-01-20 00:00:00,3.613,3.707,3.487,3.621,5555972.7
2020-01-21 00:00:00,3.623,3.695,3.553,3.654,3890984.7
2020-01-22 00:00:00,3.656,3.75,3.587,3.655,3800954.1
2020-01-23 00:00:00,3.655,3.659,3.489,3.572,5211926.8
2020-01-24 00:00:00,3.573,3.707,3.353,3.635,6304838.3
2020-01-25 00:00:00,3.638,3.638,3.489,3.501,3232995
2020-01-26 00:00:00,3.501,3.67,3.43,3.649,4965353.9
2020-01-27 00:00:00,3.651,4.065,3.645,3.965,8631565.8
2020-01-28 00:00:00,3.967,4.138,3.88,4.045,8407430.1
2020-01-29 00:00:00,4.042,4.126,3.961,3.969,6857524.5
2020-01-30 00:00:00,3.973,4.414,3.893,4.328,11216758.7
2020-01-31 00:00:00,4.332,4.378,4.03,4.151,8274121.1
2020-02-01 00:00:00,4.149,4.274,4.07,4.157,6631746
2020-02-02 00:00:00,4.157,4.338,4.049,4.217,6967069.9
2020-02-03 00:00:00,4.217,4.381,4.14,4.203,5682392.7
2020-02-04 00:00:00,4.208,4.277,4.064,4.231,4863430.6
2020-02-05 00:00:00,4.234,4.599,4.175,4.535,11866358.7
2020-02-06 00:00:00,4.535,4.688,4.407,4.609,11827598.4
2020-02-07 00:00:00,4.607,4.714,4.521,4.598,9066770.4
2020-02-08 00:00:00,4.593,4.855,4.434,4.766,10070738.6
2020-02-09 00:00:00,4.766,5.049,4.766,5.02,11460912.5
2020-02-10 00:00:00,5.019,5.069,4.741,4.901,13488374.4
2020-02-11 00:00:00,4.901,5.36,4.8,5.252,10117217
2020-02-12 00:00:00,5.246,5.482,5.246,5.341,11739643.1
2020-02-13 00:00:00,5.344,5.517,5.179,5.368,12755501.7
2020-02-14 00:00:00,5.366,5.456,5.244,5.382,8578407.2
2020-02-15 00:00:00,5.384,5.406,4.496,4.753,20962147.3
2020-02-16 00:00:00,4.751,4.869,4.025,4.384,24367605.5
2020-02-17 00:00:00,4.385,4.42,4.033,4.358,25331671.3
2020-02-18 00:00:00,4.36,4.657,4.254,4.587,13245680.6
2020-02-19 00:00:00,4.588,4.618,3.586,3.98,24707377.1
2020-02-20 00:00:00,3.977,4.068,3.784,4,18045566.6
2020-02-21 00:00:00,4.001,4.197,3.952,4.055,11820638.1
2020-02-22 00:00:00,4.055,4.166,3.972,4.106,9566316.8
2020-02-23 00:00:00,4.105,4.407,4.092,4.385,13397022.2
2020-02-24 00:00:00,4.384,4.408,3.91,4.126,23659478.3
2020-02-25 00:00:00,4.126,4.248,3.91,4.08,34128261.5
2020-02-26 00:00:00,4.081,4.113,3.322,3.538,46944004.8
2020-02-27 00:00:00,3.539,3.736,3.384,3.621,23029750.1
2020-02-28 00:00:00,3.62,3.687,3.351,3.517,22956396.1
2020-02-29 00:00:00,3.516,3.662,3.502,3.515,16912077.7
2020-03-01 00:00:00,3.515,3.657,3.421,3.513,17935588.4
2020-03-02 00:00:00,3.513,3.763,3.494,3.713,14198885.8
2020-03-03 00:00:00,3.716,3.72,3.558,3.627,14254633.2
2020-03-04 00:00:00,3.628,3.674,3.523,3.596,10048626.5
2020-03-05 00:00:00,3.597,3.844,3.595,3.768,14378151.7
2020-03-06 00:00:00,3.767,3.862,3.713,3.842,12646701.1
2020-03-07 00:00:00,3.841,3.849,3.603,3.644,12309431.4
2020-03-08 00:00:00,3.644,3.646,2.971,3.044,28976942.7
2020-03-09 00:00:00,3.045,3.169,2.848,3.061,30829464.4
2020-03-10 00:00:00,3.061,3.155,2.995,3.074,14566718.1
2020-03-11 00:00:00,3.074,3.119,2.847,3.067,16919190.1
2020-03-12 00:00:00,3.068,3.085,1.661,1.761,67259529.2
2020-03-13 00:00:00,1.759,2.297,1.351,2.114,83519481.8
2020-03-14 00:00:00,2.112,2.129,1.936,1.96,23315977.4
2020-03-15 00:00:00,1.961,2.153,1.942,2.047,18963117.3
2020-03-16 00:00:00,2.047,2.052,1.702,1.892,32991560.8
2020-03-17 00:00:00,1.893,2.035,1.867,1.968,13023458.3
2020-03-18 00:00:00,1.968,2.007,1.871,2.001,10482177.8
2020-03-19 00:00:00,2.001,2.402,1.971,2.28,12599426.3
2020-03-20 00:00:00,2.28,2.524,1.908,2.207,20257880.9
2020-03-21 00:00:00,2.207,2.362,2.108,2.275,12751385.1
2020-03-22 00:00:00,2.275,2.396,2.111,2.137,14739634.1
2020-03-23 00:00:00,2.137,2.341,2.061,2.288,9608582.1
2020-03-24 00:00:00,2.288,2.379,2.272,2.346,8815546.8
2020-03-25 00:00:00,2.346,2.373,2.228,2.298,6746616.8
2020-03-26 00:00:00,2.298,2.344,2.261,2.324,4523122.3
2020-03-27 00:00:00,2.324,2.37,2.126,2.193,8844156.7
2020-03-28 00:00:00,2.192,2.243,2.087,2.199,9073108.7
2020-03-29 00:00:00,2.2,2.216,2.093,2.115,4690895.8
2020-03-30 00:00:00,2.115,2.284,2.107,2.228,5059150.2
2020-03-31 00:00:00,2.228,2.255,2.184,2.21,3881063.9
2020-04-01 00:00:00,2.21,2.3,2.121,2.255,6506923.9
2020-04-02 00:00:00,2.253,2.503,2.25,2.29,9372789.9
2020-04-03 00:00:00,2.291,2.386,2.268,2.334,6721974.7
2020-04-04 00:00:00,2.333,2.404,2.282,2.358,5867203.3
2020-04-05 00:00:00,2.358,2.395,2.314,2.35,4091774.2
2020-04-06 00:00:00,2.351,2.773,2.35,2.76,13138095.4
2020-04-07 00:00:00,2.759,2.829,2.55,2.632,13758730.2
2020-04-08 00:00:00,2.632,2.794,2.586,2.75,9706973.7
2020-04-09 00:00:00,2.749,2.761,2.665,2.724,5077295.5
2020-04-10 00:00:00,2.723,2.745,2.408,2.492,11225460.9
2020-04-11 00:00:00,2.492,2.546,2.421,2.508,5264702.3
2020-04-12 00:00:00,2.507,2.591,2.453,2.498,5697387.3
2020-04-13 00:00:00,2.498,2.499,2.322,2.441,9420703.3
2020-04-14 00:00:00,2.441,2.502,2.411,2.465,4959463.8
2020-04-15 00:00:00,2.465,2.501,2.386,2.399,7519975.3
2020-04-16 00:00:00,2.399,2.722,2.326,2.659,19536795.8
2020-04-17 00:00:00,2.659,2.674,2.581,2.614,8500620.5
2020-04-18 00:00:00,2.614,2.766,2.612,2.728,8624401.3
2020-04-19 00:00:00,2.73,2.737,2.537,2.599,13587783.9
2020-04-20 00:00:00,2.597,2.707,2.43,2.507,19822821.6
2020-04-21 00:00:00,2.507,2.569,2.473,2.518,9694743.5
2020-04-22 00:00:00,2.52,2.654,2.505,2.625,7539414.8
2020-04-23 00:00:00,2.625,2.765,2.575,2.682,9761610.6
2020-04-24 00:00:00,2.682,2.744,2.656,2.708,8751817.5
2020-04-25 00:00:00,2.708,2.81,2.633,2.703,14962321.1
2020-04-26 00:00:00,2.705,2.786,2.665,2.737,11734662.2
2020-04-27 00:00:00,2.739,2.82,2.68,2.747,12264142.1
2020-04-28 00:00:00,2.745,2.778,2.684,2.764,9985469.5
2020-04-29 00:00:00,2.764,3.096,2.754,3.008,28433215.5
2020-04-30 00:00:00,3.011,3.123,2.749,2.823,23966365.9
2020-05-01 00:00:00,2.822,2.931,2.819,2.876,10487709
2020-05-02 00:00:00,2.874,2.953,2.853,2.944,8502862.4
2020-05-03 00:00:00,2.944,3.017,2.756,2.838,13239811.7
2020-05-04 00:00:00,2.838,2.848,2.626,2.771,14578293
2020-05-05 00:00:00,2.772,2.83,2.715,2.772,8738408
2020-05-06 00:00:00,2.772,2.824,2.618,2.653,10953241.2
2020-05-07 00:00:00,2.653,2.807,2.587,2.759,19122954.1
2020-05-08 00:00:00,2.758,2.828,2.698,2.756,12090264.9
2020-05-09 00:00:00,2.756,2.843,2.728,2.755,14363640.4
2020-05-10 00:00:00,2.753,2.758,2.238,2.443,27183818.1
2020-05-11 00:00:00,2.443,2.494,2.261,2.398,16786102.6
2020-05-12 00:00:00,2.397,2.468,2.394,2.44,8701105.9
2020-05-13 00:00:00,2.44,2.558,2.42,2.524,7553251.7
2020-05-14 00:00:00,2.524,2.652,2.465,2.622,11165483.3
2020-05-15 00:00:00,2.622,2.666,2.531,2.583,15515986.2
2020-05-16 00:00:00,2.583,2.684,2.569,2.635,9934769.3
2020-05-17 00:00:00,2.634,2.675,2.593,2.618,7956125.9
2020-05-18 00:00:00,2.618,2.75,2.607,2.666,11617148.7
2020-05-19 00:00:00,2.666,2.669,2.57,2.653,8741728.7
2020-05-20 00:00:00,2.655,2.679,2.524,2.596,13214650.7
2020-05-21 00:00:00,2.598,2.617,2.404,2.46,11253627.9
2020-05-22 00:00:00,2.461,2.637,2.438,2.595,9916007.9
2020-05-23 00:00:00,2.595,2.623,2.542,2.561,7915431.8
2020-05-24 00:00:00,2.561,2.616,2.483,2.487,12824369.3
2020-05-25 00:00:00,2.486,2.548,2.443,2.53,6873299
2020-05-26 00:00:00,2.528,2.537,2.455,2.504,6281152
